,gen,gene_name,description,te_family_suzukii,te_class_suzukii
0,CG11374,cg11374,,nf_47_GYPSY_1,LTR/GYPSY
1,CG11450,net,,nf_47_GYPSY_1,LTR/GYPSY
2,CG11376,zir,,nf_23_HELITRON_1,DNA/RC
3,CG11377,creld,Cysteine rich with EGF like,nf_23_HELITRON_1,DNA/RC
4,CR44185,lncrna:cr44185,long non-coding,nf_138_GYPSY_1,LTR/GYPSY
5,CG31975,cg31975,dicistronic,nf_138_GYPSY_1,LTR/GYPSY
6,CG31976,ovm,oven,nf_138_GYPSY_1,LTR/GYPSY
7,CG31974,cg31974,,nf_138_GYPSY_1,LTR/GYPSY
8,CG11454,cg11454,,nf_138_GYPSY_1,LTR/GYPSY
9,CG42399,cg42399,,nf_138_GYPSY_1,LTR/GYPSY
10,CG3436,cg3436,,nf_185_TIR_2,DNA/DNA
11,CG33635,cg33635,,nf_185_TIR_2,DNA/DNA
12,CR42959,mir-965,mir-965 stem,nf_243_MITE_1,DNA/MITE
13,CR44218,lncrna:cr44218,long non-coding,nf_243_MITE_1,DNA/MITE
14,CG11606,rpp30,RNaseP protein,nf_243_MITE_1,DNA/MITE
15,CG3645,dus1,Dihydrouridine synthase,nf_243_MITE_1,DNA/MITE
16,CG4063,ebi,,nf_381_TIR_1,DNA/DNA
17,CG13690,cg13690,,nf_381_TIR_1,DNA/DNA
18,CG4087,rplp1,Ribosomal protein,nf_381_TIR_1,DNA/DNA
19,CG11885,cg11885,,nf_381_TIR_1,DNA/DNA
20,CG13692,cg13692,,nf_381_TIR_1,DNA/DNA
21,CG13691,bbs8,Bardet-Biedl syndrome,nf_381_TIR_1,DNA/DNA
22,CG4184,med15,Mediator complex subunit,Mariner-1_LSal,DNA/TC1MARINER
23,CG4427,cbt,,Mariner-1_LSal,DNA/TC1MARINER
24,CG11838,rempa,reduced mechanoreceptor potential,nf_26_COPIA_1,LTR/COPIA
25,CG2789,tspo,Translocator,nf_26_COPIA_1,LTR/COPIA
26,CG11835,uncnacbeta,uncharacterized nascent polypeptide-associated complex beta,nf_26_COPIA_1,LTR/COPIA
27,CG2794,cg2794,,nf_26_COPIA_1,LTR/COPIA
28,CG2863,nle,,nf_26_COPIA_1,LTR/COPIA
29,CG2807,sf3b1,Splicing factor 3b subunit,nf_26_COPIA_1,LTR/COPIA
30,CG13688,ipk2,Inositol phosphate kinase,nf_26_COPIA_1,LTR/COPIA
31,CG2813,cold,,nf_26_COPIA_1,LTR/COPIA
32,CG13687,ptth,Prothoracicotropic,nf_26_COPIA_1,LTR/COPIA
33,CG2819,pph13,PvuII-PstI homology,nf_26_COPIA_1,LTR/COPIA
34,CG2851,gsc,,nf_381_TIR_1,DNA/DNA
35,CG3159,eaat2,Excitatory amino acid transporter,nf_381_TIR_1,DNA/DNA
36,CG3544,cg3544,,nf_381_TIR_1,DNA/DNA
37,CG3324,pkg21d,Protein kinase%2C cGMP-dependent at,nf_381_TIR_1,DNA/DNA
38,CG3561,dbp21e2,DEAD box protein,nf_381_TIR_1,DNA/DNA
39,CG3883,saf6,SAGA factor-like,nf_381_TIR_1,DNA/DNA
40,CG3639,pex12,Peroxin,nf_381_TIR_1,DNA/DNA
41,CG15880,cg15880,,nf_381_TIR_1,DNA/DNA
42,CG3876,pgap2,Post-GPI attachment to proteins,nf_381_TIR_1,DNA/DNA
43,CG4291,cg4291,,nf_23_HELITRON_1,DNA/RC
44,CG3943,kraken,,nf_23_HELITRON_1,DNA/RC
45,CG13949,cg13949,,nf_23_HELITRON_1,DNA/RC
46,CR45345,lncrna:cr45345,long non-coding,nf_23_HELITRON_1,DNA/RC
47,CR42884,mir-375,mir-375 stem,nf_23_HELITRON_1,DNA/RC
48,CG13950,cg13950,,nf_23_HELITRON_1,DNA/RC
49,CG4276,aru,,nf_23_HELITRON_1,DNA/RC
50,CG4258,dbe,,nf_380_TIR_1,DNA/DNA
51,CG9117,cg9117,,nf_380_TIR_1,DNA/DNA
52,CG33526,pnuts,Phosphatase 1 nuclear targeting,nf_380_TIR_1,DNA/DNA
53,CG15824,cg15824,,nf_380_TIR_1,DNA/DNA
54,CG3966,ninaa,neither inactivation nor afterpotential,nf_380_TIR_1,DNA/DNA
55,CG4178,lsp1beta,Larval serum protein 1,nf_159_LINE_1,LINE/JOCKEY
56,CR45261,lncrna:cr45261,long non-coding,nf_159_LINE_1,LINE/JOCKEY
57,CR44061,lncrna:cr44061,long non-coding,nf_159_LINE_1,LINE/JOCKEY
58,CG4226,gluriic,Glutamate receptor,nf_159_LINE_1,LINE/JOCKEY
59,CG4341,tmtc2,Transmembrane O-mannosyltransferase targeting cadherins,nf_381_TIR_1,DNA/DNA
60,CG15427,tutl,,nf_381_TIR_1,DNA/DNA
61,CR44059,lncrna:cr44059,long non-coding,nf_138_GYPSY_1,LTR/GYPSY
62,CR44058,lncrna:cr44058,long non-coding,nf_138_GYPSY_1,LTR/GYPSY
63,CR45720,lncrna:cr45720,long non-coding,nf_138_GYPSY_1,LTR/GYPSY
64,CG11767,or24a,Odorant receptor,nf_158_LTR_1,LTR/LTR
65,CG4099,sr-ci,Scavenger receptor class C%2C type,nf_47_GYPSY_1,LTR/GYPSY
66,CG31774,fred,friend of,nf_322_TIR_1,DNA/CMC
67,CG31773,fpgs2,Folylpolyglutamate synthase,nf_26_COPIA_1,LTR/COPIA
68,CR44077,lncrna:cr44077,long non-coding,nf_26_COPIA_1,LTR/COPIA
69,CR44076,lncrna:cr44076,long non-coding,nf_26_COPIA_1,LTR/COPIA
70,CG3407,cg3407,,nf_26_COPIA_1,LTR/COPIA
71,CG3920,reph,Regulator of eph,nf_26_COPIA_1,LTR/COPIA
72,CG3921,bark,bark,nf_355_TIR_1,DNA/DNA
73,CG10021,bowl,brother of odd with entrails,nf_64_LTR_2,LTR/BELPAO
74,CG43707,cg43707,,nf_381_TIR_1,DNA/DNA
75,CG10019,cg10019,,nf_381_TIR_1,DNA/DNA
76,CG33122,cutlet,,nf_355_TIR_1,DNA/DNA
77,CG42685,cg42685,,nf_360_HELITRON_1,DNA/RC
78,CR44857,lncrna:cr44857,long non-coding,nf_360_HELITRON_1,DNA/RC
79,CG31835,cg31835,,nf_360_HELITRON_1,DNA/RC
80,CG34166,cg34166,,nf_360_HELITRON_1,DNA/RC
81,CR46411,lncrna:cr46411,long non-coding,nf_117_TIR_1,DNA/CMC
82,CG4691,cg4691,,nf_61_LTR_1,LTR/BELPAO
83,CG42313,side-ii,sidestep,nf_381_TIR_1,DNA/DNA
84,CG15270,wwk,white,nf_381_TIR_1,DNA/DNA
85,CR33536,trna:leu-taa-2-1,,nf_381_TIR_1,DNA/DNA
86,CG43230,cg43230,,nf_381_TIR_1,DNA/DNA
