gen,description,te_class_suzukii
ir21a,Ionotropic receptor,DNA/RC
or24a,Odorant receptor,LTR
gr22f,Gustatory receptor,LINE/I
gr22e,Gustatory receptor,DNA
or35a,Odorant receptor,LINE/I
or30a,Odorant receptor,DNA
ir31a,Ionotropic receptor,LTR/Gypsy
or33b,Odorant receptor,LTR/Gypsy
or33c,Odorant receptor,LTR/Gypsy
gr33a,Gustatory receptor,DNA/RC
or59a,Odorant receptor,DNA
or59b,Odorant receptor,LTR/Gypsy
ir47a,Ionotropic receptor,DNA/P
gr47a,Gustatory receptor,DNA/RC
obp46a,Odorant-binding protein,DNA/P
gr47b,Gustatory receptor,LTR/Gypsy
or47a,Odorant receptor,LINE/I
obp47a,Odorant-binding protein,DNA
obp50e,Odorant-binding protein,LTR
obp50c,Odorant-binding protein,LTR
obp50b,Odorant-binding protein,LTR
obp50a,Odorant-binding protein,LTR
ir48b,Ionotropic receptor,LINE/I
ir48c,Ionotropic receptor,LINE/I
obp57d,Odorant-binding protein,DNA
obp56c,Odorant-binding protein,DNA
obp56b,Odorant-binding protein,DNA
obp56a,Odorant-binding protein,DNA
ir56d,Ionotropic receptor,DNA
ir56c,Ionotropic receptor,DNA
ir56b,Ionotropic receptor,DNA
ir60a,Ionotropic receptor,LINE/I
ir52a,Ionotropic receptor,LTR/Gypsy
ir52d,Ionotropic receptor,LTR/COPIA
or49b,Odorant receptor,LINE/CR1
grl62a,Gustatory receptor-like,DNA
grl62b,Gustatory receptor-like,DNA
gr66a,Gustatory receptor,LTR
ir64a,Ionotropic receptor,DNA
gr64c,Gustatory receptor,DNA/P
gr64b,Gustatory receptor,DNA/P
gr64d,Gustatory receptor,DNA/P
gr64e,Gustatory receptor,DNA/P
gr64f,Gustatory receptor,DNA/P
ir75d,Ionotropic receptor,LINE/CR1
ir100a,Ionotropic receptor,LTR
gr98a,Gustatory receptor,DNA/RC
or85b,Odorant receptor,DNA
or85c,Odorant receptor,DNA
or85e,Odorant receptor,DNA
ir87a,Ionotropic receptor,LTR
ir84a,Ionotropic receptor,DNA
obp83ef,Odorant-binding protein,LTR/COPIA
or83c,Odorant receptor,DNA
obp83b,Odorant-binding protein,DNA
obp83a,Odorant-binding protein,DNA
orco,Odorant receptor,DNA/RC
or83a,Odorant receptor,LTR/Gypsy
gr8a,Gustatory receptor,DNA
obp8a,Odorant-binding protein,DNA
or10a,Odorant receptor,DNA
gr10a,Gustatory receptor,DNA
ir7a,Ionotropic receptor,DNA
ir7b,Ionotropic receptor,LTR/Gypsy
ir7c,Ionotropic receptor,LTR/Gypsy
