,region,Class,odds_ratio,p_value
0,NC_092080.1;24000000;26000000,LTR/GYPSY,1.5222953216374269,4.807280534245068e-05
2,NC_092080.1;24000000;26000000,DNA/DNA,0.3046433487513145,5.576988794463229e-22
3,NC_092080.1;24000000;26000000,LTR/COPIA,2.337401812688822,5.078577143368854e-06
5,NC_092080.1;24000000;26000000,DNA/TC1MARINER,1.8961200759373518,0.008611533718000643
6,NC_092080.1;24000000;26000000,DNA/HAT,2.103038103038103,0.005146173595526331
10,NC_092080.1;24000000;26000000,LINE/I,0.48193280866548194,0.004713786400045898
12,NC_092080.1;24000000;26000000,DNA/MITE,2.3459928229665072,0.016571866580999087
17,NC_092080.1;24000000;26000000,DNA/Maverick,0.21154108189126583,0.002580678542304612
21,NC_092081.1;1;2000000,LTR/GYPSY,1.989904295051354,1.6286775544605778e-16
23,NC_092081.1;1;2000000,DNA/DNA,0.2344945401362969,1.6714123251938662e-44
26,NC_092081.1;1;2000000,LTR/BELPAO,4.1288925163234556,7.034529013777448e-10
27,NC_092081.1;1;2000000,DNA/TC1MARINER,1.5055275357888838,0.03022821736215109
28,NC_092081.1;1;2000000,DNA/Maverick,3.7845657944634055,2.045184561150058e-07
29,NC_092081.1;1;2000000,DNA/CMC,2.4898921417565485,0.0005588387223242424
31,NC_092081.1;1;2000000,LINE/R1,3.932759396803961,1.4609868217942522e-05
34,NC_092081.1;1;2000000,DNA/P,0.5682091954758174,0.014025868173876781
36,NC_092081.1;1;2000000,LINE/I,0.25957142857142856,1.1542028089873958e-08
37,NC_092081.1;1;2000000,LINE/L2,4.733033932135728,0.004038564482936049
46,NC_092082.1;26000000;44000000,DNA/DNA,0.5173807968556358,4.106291156723208e-40
47,NC_092082.1;26000000;44000000,LTR/BELPAO,1.6227169313230239,3.2204121219509317e-13
59,NC_092082.1;26000000;44000000,LTR/LTR,0.5410805361381031,1.6585753409202526e-07
66,NC_092082.1;45000000;60000000,LTR/GYPSY,2.0281586789359296,2.661175345561405e-262
67,NC_092082.1;45000000;60000000,DNA/RC,0.6243938266496109,2.9864998312396468e-46
69,NC_092082.1;45000000;60000000,DNA/DNA,0.3296000407879254,2.854474273125286e-97
73,NC_092082.1;45000000;60000000,DNA/TC1MARINER,0.6853855442240082,1.328886917482089e-07
76,NC_092082.1;45000000;60000000,LINE/I,0.49230248408275473,2.8296672863450673e-14
77,NC_092082.1;45000000;60000000,DNA/HAT,0.5597250333540572,1.8971981851603838e-08
79,NC_092082.1;45000000;60000000,DNA/P,0.4041147557857999,2.1770036526424095e-18
80,NC_092082.1;45000000;60000000,DNA/CMC,0.49875133911784947,4.762242111057265e-09
81,NC_092082.1;45000000;60000000,LTR/LTR,0.46752131830396015,3.1361256924026406e-10
82,NC_092082.1;45000000;60000000,DNA/PIFHARBINGER,0.3232827464441076,5.128299064002371e-21
84,NC_092082.1;45000000;60000000,DNA/MITE,0.3519554672098293,1.7425337287932035e-07
87,NC_092082.1;45000000;60000000,LINE/LINE,0.1365374748019899,1.3491046166275094e-07
91,NC_092083.1;1;2000000,DNA/DNA,1.6702563702953324,0.002978958385967629
110,NC_092084.1;25000000;32000000,LTR/GYPSY,2.1497940035533785,1.025454502761844e-21
112,NC_092084.1;25000000;32000000,DNA/DNA,0.18791507076751104,1.1208099483883375e-106
113,NC_092084.1;25000000;32000000,LTR/COPIA,1.8622947837555142,0.00010101354162829098
115,NC_092084.1;25000000;32000000,LINE/JOCKEY,1.9140267432468814,0.00042591185229855525
116,NC_092084.1;25000000;32000000,DNA/Maverick,2.647278342555656,1.596643238877713e-05
117,NC_092084.1;25000000;32000000,LINE/R1,4.181701093560146,2.41631092954354e-07
118,NC_092084.1;25000000;32000000,DNA/TC1MARINER,1.6643144939342567,0.03143738566370106
119,NC_092084.1;25000000;32000000,LTR/BELPAO,3.0398647016187486,0.00012509777113372516
120,NC_092084.1;25000000;32000000,DNA/CMC,7.8808805790108565,4.48132365020366e-08
121,NC_092084.1;25000000;32000000,DNA/HAT,1.9319223347805112,0.013175002094202366
122,NC_092084.1;25000000;32000000,LINE/I,0.5182703233137073,0.0002823582149026865
124,NC_092084.1;25000000;32000000,DNA/PIFHARBINGER,0.6345842778384126,0.02146604289105552
127,NC_092084.1;25000000;32000000,LINE/L2,6.676149834044571,0.039241089944695
135,NC_092085.1;1;12000000,DNA/RC,2.0412378137145115,7.231647174700348e-16
136,NC_092085.1;1;12000000,DNA/Maverick,0.5262010700514537,2.2314480050218744e-05
138,NC_092085.1;1;12000000,LTR/BELPAO,0.4728416366751654,6.53923882814368e-06
139,NC_092085.1;1;12000000,LINE/CR1,0.6545686357841054,0.023821840774338774
141,NC_092085.1;1;12000000,LINE/R1,0.5023188348594885,0.0009421092353291543
143,NC_092085.1;1;12000000,DNA/P,2.0806129946467933,0.04923679663512406
147,NC_092085.1;1;12000000,DNA/CMC,0.39975633024148594,0.017094696073331448
150,NC_092085.1;1;12000000,DNA/PIFHARBINGER,0.16263940520446096,1.251285936437525e-06
