gen,description,te_class_suzukii
ir21a,Ionotropic receptor,DNA/RC
asrna:cr43609,antisense,DNA/RC
cg11374,,LTR/Gypsy
net,,LTR/Gypsy
zir,,DNA/RC
creld,Cysteine rich with EGF like,DNA/RC
nhe1,Na[+]/H[+] hydrogen exchanger,DNA
sam-s,S-adenosylmethionine,DNA
cg4822,,DNA
cg3164,,DNA
asrna:cr44969,antisense,DNA
cg42399,,DNA
nd-15,NADH dehydrogenase (ubiquinone) 15 kDa,DNA
cg3436,,DNA
cg33635,,DNA
kis,,DNA
mir-965,mir-965 stem,DNA
lncrna:cr44218,long non-coding,DNA
rpp30,RNaseP protein,DNA
dus1,Dihydrouridine synthase,DNA
ebi,,DNA
cg13690,,DNA
rplp1,Ribosomal protein,DNA
cg11885,,DNA
cg13692,,DNA
bbs8,Bardet-Biedl syndrome,DNA
med15,Mediator complex subunit,DNA
cbt,,DNA
rempa,reduced mechanoreceptor potential,LTR/COPIA
tspo,Translocator,LTR/COPIA
uncnacbeta,uncharacterized nascent polypeptide-associated complex beta,LTR/COPIA
cg2794,,LTR/COPIA
nle,,LTR/COPIA
sf3b1,Splicing factor 3b subunit,LTR/COPIA
ipk2,Inositol phosphate kinase,LTR/COPIA
cold,,LTR/COPIA
ptth,Prothoracicotropic,LTR/COPIA
eaat2,Excitatory amino acid transporter,DNA
cg3544,,DNA
pkg21d,Protein kinase%2C cGMP-dependent at,DNA
dbp21e2,DEAD box protein,DNA
saf6,SAGA factor-like,DNA
pex12,Peroxin,DNA
cg15880,,DNA
pgap2,Post-GPI attachment to proteins,DNA
aru,,DNA
dbe,,DNA
cg9117,,DNA
pnuts,Phosphatase 1 nuclear targeting,DNA
cg15824,,DNA
ninaa,neither inactivation nor afterpotential,DNA
lncrna:cr44061,long non-coding,LINE/I
gluriic,Glutamate receptor,LINE/I
tmtc2,Transmembrane O-mannosyltransferase targeting cadherins,LINE/R1
atet,ABC transporter expressed in,DNA
bdl,,DNA
tutl,,DNA
art2,Arginine methyltransferase,DNA
lncrna:cr44059,long non-coding,DNA
lncrna:cr44058,long non-coding,DNA
lncrna:cr45720,long non-coding,DNA
ft,,DNA/MAVERICK
or24a,Odorant receptor,LTR
sr-ci,Scavenger receptor class C%2C type,DNA/RC
cg15423,,DNA
cg15422,,DNA
cg34176,,DNA
lncrna:cr45344,long non-coding,DNA
fred,friend of,DNA/RC
capu,,DNA/RC
cg31957,,LTR/Gypsy
cep97,Centrosomal protein,LTR/Gypsy
ttll4b,Tubulin tyrosine ligase-like,LTR/Gypsy
lncrna:cr45449,long non-coding,DNA/RC
lncrna:cr45451,long non-coding,DNA/RC
lncrna:cr44983,long non-coding,DNA/RC
slp1,sloppy paired,DNA
lncrna:cr44077,long non-coding,DNA
lncrna:cr44076,long non-coding,DNA
cg3407,,DNA
reph,Regulator of eph,DNA
cg10019,,DNA
cg42685,,DNA/RC
lncrna:cr44857,long non-coding,DNA/RC
cg31835,,DNA/RC
cg34166,,DNA/RC
lncrna:cr46411,long non-coding,DNA/RC
side-ii,sidestep,DNA
cg3491,,DNA
wwk,white,DNA
stc,shuttle,DNA/RC
lncrna:cr43853,long non-coding,DNA/RC
lncrna:cr43854,long non-coding,DNA/RC
trna:leu-taa-2-1,,DNA/RC
cg43230,,DNA/RC
znt35c,Zinc transporter,LTR
cg15263,,DNA
ms(2)35ci,male sterile (2),DNA
lncrna:cr43764,long non-coding,DNA
lncrna:cr31647,long non-coding,LTR
snorna:me28s-a2486,,LTR
lncrna:cr43715,long non-coding,LTR
lncrna:cr43714,long non-coding,LTR
lncrna:cr43713,long non-coding,LTR
h15,,LTR/COPIA
lncrna:cr45730,long non-coding,DNA/RC
lncrna:cr44742,long non-coding,LTR/Gypsy
lncrna:cr44743,long non-coding,LTR/Gypsy
bub1,Bub1,DNA/PIFHARBINGER
nin,,DNA/PIFHARBINGER
cyp4ac3,Cytochrome P450,DNA/PIFHARBINGER
cyp4ac2,Cytochrome P450,DNA
cyp4ac1,Cytochrome P450,DNA
lncrna:cr44744,long non-coding,DNA
pgant5,Polypeptide N-Acetylgalactosaminyltransferase,DNA/RC
qtc,,LINE
mir-2495,mir-2495 stem,LINE
asrna:cr43820,antisense,LINE
lncrna:cr45291,long non-coding,LINE
rpn11,Regulatory particle non-ATPase,LINE
his3.3a,Histone,LINE
cg14036,,LINE
senju,,LINE
eif3h,eukaryotic translation initiation factor 3 subunit,LINE
cg31650,,DNA
sp555,dicistronic,DNA
cg14042,dicistronic,DNA
col4a1,Collagen type IV alpha,DNA
vkg,,DNA
cg3515,,DNA
asrna:cr46069,antisense,DNA
cg3528,,DNA
lncrna:cr44607,long non-coding,DNA
oaf,out at,DNA
lncrna:cr45286,long non-coding,LTR
trna:tyr-gta-1-3,,LTR
cg34447,,DNA/RC
cg34448,,DNA/RC
cg18641,,DNA/RC
vglut,Vesicular glutamate,DNA/RC
cg46448,,DNA
rab5,,DNA
eys,eyes,DNA
lncrna:cr43753,long non-coding,DNA
cg4270,,DNA/RC
lncrna:cr44788,long non-coding,DNA/RC
lncrna:cr44787,long non-coding,DNA/RC
lncrna:cr42859,long non-coding,DNA/RC
cg4267,,DNA/RC
tengl1,Testis EndoG-Like,DNA/RC
tengl2,Testis EndoG-Like,DNA/RC
tengl3,Testis EndoG-Like,DNA/RC
asrna:cr44115,antisense,DNA/RC
sec24cd,Secretory,DNA/RC
sau,,LTR
asrna:cr44114,antisense,LTR/Gypsy
cg15387,,LTR/Gypsy
papi,,LTR/Gypsy
mio,missing,DNA/MITE
cg15386,dicistronic,DNA/MITE
cg42371,dicistronic,DNA/MITE
lncrna:cr43751,long non-coding,DNA
aop,anterior,DNA
rangap,Ran GTPase activating,DNA
hs2st,Heparan sulfate,DNA
cg10237,,DNA
rab9,,DNA
emb,,DNA/RC
lncrna:cr44991,long non-coding,DNA/RC
fy,,DNA/RC
